x1,x2
102.0603964,200.2785345
101.9908681,199.8746126
98.69157022,203.2067486
102.0008519,200.2493735
101.5675451,200.7537791
101.4167321,201.0684012
102.4029887,199.4666688
100.5808276,199.9263353
99.43512154,203.4558164
99.36357287,202.6026765
102.005,199.5535675
102.5799582,199.5966505
101.2006828,199.381635
101.0620495,200.0626009
100.7711706,201.5166252
101.6007793,201.0659387
100.1914977,202.1847193
101.0852763,201.6105818
101.4717849,200.4638734
99.50889575,201.8004918
99.94930477,201.9600651
101.4588274,201.2403172
101.783526,200.1051144
101.2577464,201.0086492
97.24645396,204.7938289
100.4543,202.5935502
103.283683,199.0649494
101.2119836,201.4203454
104.1178453,197.5498897
102.9308232,199.4682232
100.6503879,201.2666596
101.8473431,201.0624296
99.43552336,202.6409407
101.3253543,200.7779765
100.5598597,201.1595482
100.7608195,202.5330064
99.44034897,202.8144628
98.52835392,204.0874711
101.7869863,201.9876152
100.6939378,201.4960878
99.45682011,203.0716992
99.99295394,202.1849212
98.36002474,203.8804805
99.59907896,201.1560752
101.3620517,200.9250922
102.6426374,200.3023221
101.115221,201.8651438
99.73357976,201.8220053
104.3911506,199.0817121
99.98642842,201.961775
100.9108317,200.8562993
99.79860446,201.6631248
101.2309506,200.2574623
102.75698,199.510668
103.1681798,199.7040403
101.2499577,201.3722894
99.54854056,202.48868
103.4307779,198.0512093
103.548555,199.2213293
99.37268556,201.4220849
100.3877768,201.7389468
102.8807993,197.9797403
101.6115896,200.1172626
100.7922952,201.5505313
99.67739818,202.8571229
100.9887658,200.2116531
102.8290298,199.5925808
102.2975804,199.871537
100.4896938,201.8008897
102.9695932,198.633018
103.1160178,198.8211749
102.3829501,200.0616862
98.96706114,203.9181259
103.0097119,199.1610543
97.6476232,203.7713299
103.409642,199.5505358
102.0492183,201.0969172
101.3203152,199.8222474
101.0452382,201.604596
103.3789301,199.221405
98.54749847,202.1501264
100.5183941,201.3657001
102.0084385,199.9010826
102.6615366,197.9717405
101.9895652,200.9200198
103.4163792,198.5568671
101.5565515,200.2544976
101.9992987,200.3855865
99.48606611,202.4704516
99.26883226,203.1505998
102.6824527,200.8032583
102.956821,199.2903902
99.16784803,202.5853285
101.0079729,200.6448766
100.6162314,200.9954617
101.7132658,200.4133661
99.07377036,202.6403209
100.5311173,201.3625067
102.9403163,199.8226651
97.69884956,203.1722871
102.0603964,200.16604
101.9908681,199.6383577
98.69157022,197.0977436
102.0008519,200.0308899
101.5675451,199.7640093
101.4167321,199.8101844
102.4029887,199.9639887
100.5808276,197.1802084
99.43512154,198.6703327
99.36357287,197.6898362
102.005,199.3424674
102.5799582,200.4089762
101.2006828,197.7388504
101.0620495,198.1730491
100.7711706,199.1093088
101.6007793,200.1353259
100.1914977,198.7455851
101.0852763,199.7623736
101.4717849,199.3036505
99.50889575,197.1463262
99.94930477,198.0898276
101.4588274,200.05703
101.783526,199.4997906
